t,V,Vtilde,tau_star,d_star,V_recomputed,Vtilde_linkage
317.55,116155.63077219584,116155.63090045497,272.1898996359726,0.0,116151.1218593878,116151.1218593878
319.375,116156.57325530553,116156.57338255133,272.84337420290774,0.0,116151.14081381171,116151.14081381171
321.2,116156.99351997649,116156.9936460496,273.5637814142634,0.0,116150.62042655697,116150.62042655697
323.025,116156.88460085867,116156.88472558845,274.3517546665929,0.0,116149.5558224811,116149.5558224811
324.85,116156.24075334823,116156.24087655508,275.2076853175937,0.0,116147.94322549956,116147.94322549956
326.675,116155.0575585439,116155.05768004183,276.1316291246051,0.0,116145.77929838371,116145.77929838371
328.5,116153.33197897128,116153.33209857118,277.1231925476414,0.0,116143.06396563647,116143.06396563647
330.325,116151.06235694604,116151.0624744586,278.18140658761473,0.0,116139.79657463034,116139.79657463034
332.15,116148.24835169858,116148.24846693747,279.30459840816064,0.0,116135.97785898548,116135.97785898548
333.975,116144.8908163248,116144.89092910958,280.4902727793591,0.0,116131.61030032566,116131.61030032566
335.8,116140.9916208567,116140.99173101553,281.73501614397276,0.0,116126.69686110775,116126.69686110775
337.625,116136.55343281002,116136.55354018207,283.03443568978105,0.0,116121.24346033133,116121.24346033133
339.45,116131.57947100422,116131.57957544156,284.38314417018614,0.0,116115.25748277412,116115.25748277412
341.275,116126.0732518283,116126.07335319783,285.7747984207581,0.0,116108.74797672071,116108.74797672071
343.1,116120.0383490868,116120.03844727171,287.20219575762843,0.0,116101.72529050338,116101.72529050338
344.925,116113.47818884611,116113.47828374732,288.65742800232306,0.0,116094.20084519753,116094.20084519753
346.75,116106.39589919991,116106.39599073741,290.13208812330674,0.0,116086.18406270398,116086.18406270398
348.575,116098.7942316126,116098.79431972705,291.61751983120575,0.0,116077.68730235599,116077.68730235599
350.4,116090.67556567217,116090.6756503263,293.10509633689605,0.0,116068.71725580328,116068.71725580328
352.225,116082.04200302096,116082.0420842014,294.58651127511445,0.0,116059.28095631623,116059.28095631623
354.05,116072.89554938934,116072.89562710832,296.05406284017096,0.0,116049.38493663208,116049.38493663208
355.875,116063.23837657059,116063.23845086763,297.50091170443983,0.0,116039.0358889667,116039.0358889667
357.7,116053.07314942947,116053.07322037303,298.9212944004393,0.0,116028.23825503653,116028.23825503653
359.525,116042.40339720195,116042.40346489057,300.31067651158054,0.0,116017.00305221963,116017.00305221963
361.35,116031.23390393797,116031.23396850108,301.66583406399116,0.0,116005.3373805158,116005.3373805158
363.175,116019.57109037336,116019.57115197091,302.98485664332014,0.0,115993.25471044952,115993.25471044952
