t,ymin_case,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
319.375,ymin_zero,optimal_fallow,90068.4610444638,89625.51417501442,195.6587248969052,0.0,4.8780499515877915,12.277467695207458,-7.399417743619666
321.2,ymin_zero,optimal_fallow,90078.84010182104,89634.43430891701,196.02810614220402,0.0,4.892072574053734,12.278689631358496,-7.386617057304762
323.025,ymin_zero,optimal_fallow,90089.03135470289,89643.36234136467,196.55115833133095,0.0,4.892072574053734,12.27991264950201,-7.387840075448277
324.85,ymin_zero,optimal_fallow,90099.05620064912,89652.43252135966,197.16780340609606,0.0,5.242573375730492,12.281155139912284,-7.038581764181792
326.675,ymin_zero,optimal_fallow,90108.49862232068,89662.00021777037,198.11202358059475,0.0,5.242573375730492,12.282465783256217,-7.039892407525725
328.5,ymin_zero,optimal_fallow,90117.94104399224,89671.56791418108,199.05624375509342,0.0,5.242573375730492,12.28377642660015,-7.041203050869658
330.325,ymin_zero,optimal_fallow,90126.91520187547,89681.65306742555,199.8229997513667,0.0,5.619074642602013,12.285157954441857,-6.666083311839844
332.15,ymin_zero,optimal_fallow,90135.73583064778,89691.90787864829,200.53157077117262,0.0,5.619074642602013,12.286562723102506,-6.667488080500493
333.975,ymin_zero,optimal_fallow,90144.32625552386,89702.55129867786,201.4594515270092,0.0,6.368980857075627,12.288020725846284,-5.919039868770657
335.8,ymin_zero,optimal_fallow,90152.33616622681,89714.17468874203,202.94037422587962,0.0,6.368980857075627,12.289612971060553,-5.920632113984926
337.625,ymin_zero,optimal_fallow,90160.34607692978,89725.79807880618,204.42129692475007,0.0,6.368980857075627,12.291205216274822,-5.922224359199195
339.45,ymin_zero,optimal_fallow,90167.60676731436,89738.65917467854,206.22844476258672,0.0,7.201311039416703,12.292967010229939,-5.091655970813235
341.275,ymin_zero,optimal_fallow,90174.69718035383,89751.80156732547,208.10973467746118,0.0,7.201311039416703,12.294767337989793,-5.09345629857309
