t,scenario,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
41.975,medium_risk,optimal_fallow,90252.17757281938,90436.7260216543,332.03734567901233,0.0,1.1517030830789292,12.388592605706071,-11.236889522627141
43.8,medium_risk,optimal_fallow,90252.11432040032,90438.82787978093,330.21234567901234,0.0,1.1517030830789292,12.388880531476842,-11.237177448397912
45.625,medium_risk,optimal_fallow,90250.31675047864,90439.19423540235,328.38734567901236,0.0,-1.929408213808298,12.388930717178406,-14.318338930986704
47.45,medium_risk,optimal_fallow,90244.63430935107,90435.67306541215,326.56234567901237,0.0,-1.929408213808298,12.388448365124953,-14.31785657893325
49.275,medium_risk,optimal_fallow,90238.9518682235,90432.15189542195,324.7373456790124,0.0,-1.929408213808298,12.387966013071502,-14.3173742268798
51.1,medium_risk,optimal_fallow,90227.72107582659,90423.76574074499,323.56840911148043,0.0,-5.1047809747089525,12.38681722475959,-17.49159819946854
52.925,medium_risk,optimal_fallow,90215.4295692164,90414.44951546614,322.52489643544976,0.0,-5.1047809747089525,12.385541029515911,-17.490322004224865
54.75,medium_risk,optimal_fallow,90201.7243554879,90403.6779169494,321.6739185536288,0.0,-7.257935902021337,12.384065468075262,-19.6420013700966
56.575,medium_risk,optimal_fallow,90185.61583965823,90390.4321839282,321.1502498219645,0.0,-7.257935902021337,12.382250984099755,-19.640186886121093
58.4,medium_risk,optimal_fallow,90169.50732382857,90377.18645090701,320.6265810903002,0.0,-7.257935902021337,12.380436500124251,-19.63837240214559
60.225,medium_risk,optimal_fallow,90150.4125315006,90359.9228219457,320.1867171647653,0.0,-9.700792506644556,12.378071619444619,-22.078864126089172
62.05,medium_risk,optimal_fallow,90130.99047599474,90342.21887562107,319.75603732757327,0.0,-9.700792506644556,12.375646421317956,-22.076438927962514
63.875,medium_risk,optimal_fallow,90110.26443268082,90322.52301489047,319.2534368515459,0.0,-12.226742673122745,12.372948358204175,-24.59969103132692
65.7,medium_risk,optimal_fallow,90087.82457681916,90300.20920951202,318.656312107335,0.0,-12.226742673122745,12.369891672535895,-24.59663434565864
67.525,medium_risk,optimal_fallow,90065.38472095749,90277.89540413357,318.05918736312407,0.0,-12.226742673122745,12.366834986867614,-24.59357765999036
69.35,medium_risk,optimal_fallow,90040.72293710888,90252.14257615466,317.4187659442457,0.0,-14.183615385719934,12.363307202212969,-26.546922587932904
71.175,medium_risk,optimal_fallow,90015.97569449154,90226.25747807571,316.77667926864933,0.0,-14.183615385719934,12.359761298366537,-26.54337668408647
73.0,medium_risk,optimal_fallow,89990.35796687438,90198.95280985125,316.193889727332,0.0,-15.758754862262531,12.356020932856337,-28.114775795118867
74.825,medium_risk,optimal_fallow,89963.84799213237,90170.19308222762,315.6718797486506,0.0,-15.758754862262531,12.352081244140772,-28.110836106403305
76.65,medium_risk,optimal_fallow,89937.30378151977,90141.36936490674,315.1444852304957,0.0,-17.178800198442104,12.348132789713254,-29.52693298815536
78.475,medium_risk,optimal_fallow,89909.40725401853,90110.01805454459,314.4044014031395,0.0,-17.178800198442104,12.343838089663643,-29.522638288105746
80.3,medium_risk,optimal_fallow,89881.51072651728,90078.66674418242,313.66431757578323,0.0,-17.178800198442104,12.339543389614033,-29.518343588056137
82.125,medium_risk,optimal_fallow,89853.5009659069,90046.91832161677,312.8016919729126,0.0,-17.57047250874891,12.335194290632437,-29.905666799381347
83.95,medium_risk,optimal_fallow,89825.40061880919,90014.8522092883,311.84103294963035,0.0,-17.57047250874891,12.330801672505249,-29.90127418125416
85.775,medium_risk,optimal_fallow,89797.19901471,89982.56865036771,310.90928423322106,0.0,-18.949194541010844,12.32637926717366,-31.275573808184504
87.6,medium_risk,optimal_fallow,89767.92697945223,89947.98637033037,310.2831587608972,0.0,-18.949194541010844,12.321641968538408,-31.27083650954925
89.425,medium_risk,optimal_fallow,89738.65494419445,89913.40409029301,309.6570332885733,0.0,-18.949194541010844,12.316904669903154,-31.266099210914
91.25,medium_risk,optimal_fallow,89709.97003404572,89879.74700072435,308.6679920376457,0.0,-18.127929577032845,12.312294109688269,-30.44022368672111
93.075,medium_risk,optimal_fallow,89681.64914146462,89846.66352924627,307.45394300398374,0.0,-18.127929577032845,12.307762127294012,-30.435691704326857
94.9,medium_risk,optimal_fallow,89653.11868503038,89813.07614742298,306.30308428466844,0.0,-19.9917075661212,12.303161116085342,-32.29486868220654
96.725,medium_risk,optimal_fallow,89623.3832364407,89776.59128111482,305.51556987284664,0.0,-19.9917075661212,12.298163189193811,-32.28987075531501
98.55,medium_risk,optimal_fallow,89593.64778785102,89740.10641480665,304.7280554610248,0.0,-19.9917075661212,12.293165262302283,-32.28487282842348
100.375,medium_risk,optimal_fallow,89568.28468545506,89708.61377364307,304.6395552119542,0.0,-15.963112430754403,12.288851201868916,-28.25196363262332
102.2,medium_risk,optimal_fallow,89544.98851035067,89679.48109345694,304.88149802163866,0.0,-15.963112430754403,12.284860423761225,-28.24797285451563
104.025,medium_risk,optimal_fallow,89522.54344060825,89651.68571835806,304.83447893100526,0.0,-12.471679326266154,12.281052838131242,-24.752732164397393
105.85,medium_risk,optimal_fallow,89503.30253222858,89628.92490358763,303.6996032744693,0.0,-12.471679326266154,12.277934918299676,-24.74961424456583
107.675,medium_risk,optimal_fallow,89484.06162384892,89606.16408881718,302.56472761793333,0.0,-12.471679326266154,12.27481699846811,-24.746496324734263
109.5,medium_risk,optimal_fallow,89465.63590044736,89583.79913469136,301.66937336886184,0.0,-12.178850904222418,12.271753306122106,-24.450604210344522
111.325,medium_risk,optimal_fallow,89447.49549178817,89561.57273179117,300.8578516124029,0.0,-12.178850904222418,12.268708593396052,-24.44755949761847
113.15,medium_risk,optimal_fallow,89430.0274808084,89540.22077919437,299.9522162383514,0.0,-10.414704588496143,12.265783668382792,-22.680488256878935
114.975,medium_risk,optimal_fallow,89414.36271815072,89521.21394332037,298.79418525348365,0.0,-10.414704588496143,12.263179992235669,-22.677884580731813
116.8,medium_risk,optimal_fallow,89398.69795549304,89502.20710744636,297.6361542686158,0.0,-10.414704588496143,12.260576316088544,-22.67528090458469
118.625,medium_risk,optimal_fallow,89383.64067648264,89483.02120577372,296.6121442768537,0.0,-10.536975017911464,12.257948110379964,-22.79492312829143
120.45,medium_risk,optimal_fallow,89368.73293190851,89463.79122636603,295.6211240680099,0.0,-10.536975017911464,12.255313866625485,-22.79228888453695
122.275,medium_risk,optimal_fallow,89354.65092716554,89445.40694997797,294.658493826617,0.0,-9.146778273307028,12.252795472599724,-21.39957374590675
124.1,medium_risk,optimal_fallow,89342.22040208493,89428.7140796292,293.752643520126,0.0,-9.146778273307028,12.250508778031397,-21.397287051338424
125.925,medium_risk,optimal_fallow,89329.78987700431,89412.0212092804,292.846793213635,0.0,-9.146778273307028,12.24822208346307,-21.395000356770097
127.75,medium_risk,optimal_fallow,89318.77872881046,89397.24578392334,291.69070591696385,0.0,-7.931020587753322,12.24619805259224,-20.17721864034556
129.575,medium_risk,optimal_fallow,89307.99062555598,89382.7716713507,290.49529566469295,0.0,-7.931020587753322,12.244215297445303,-20.175235885198624
131.4,medium_risk,optimal_fallow,89297.98118023446,89368.80846113771,289.39265910468,0.0,-7.222406013557331,12.242302528922975,-19.464708542480306
133.225,medium_risk,optimal_fallow,89289.16405487286,89355.62757016296,288.432082260937,0.0,-7.222406013557331,12.240496927419585,-19.462902940976917
135.05,medium_risk,optimal_fallow,89280.34692951126,89342.44667918823,287.47150541719407,0.0,-7.222406013557331,12.238691325916198,-19.46109733947353
136.875,medium_risk,optimal_fallow,89273.26797367091,89331.90593451385,286.2654722523045,0.0,-5.66001806594359,12.237247388289571,-17.89726545423316
138.7,medium_risk,optimal_fallow,89266.32807139224,89321.5764015435,285.0398025817232,0.0,-5.66001806594359,12.235832383773083,-17.895850449716672
140.525,medium_risk,optimal_fallow,89260.00928960413,89311.36502935195,283.91375503131485,0.0,-5.518277627848714,12.234433565664652,-17.752711193513367
142.35,medium_risk,optimal_fallow,89254.42913758854,89301.29417268113,282.90617702922026,0.0,-5.518277627848714,12.23305399625769,-17.751331624106403
144.175,medium_risk,optimal_fallow,89248.84898557296,89291.2233160103,281.89859902712567,0.0,-5.518277627848714,12.231674426850729,-17.749952054699442
146.0,medium_risk,optimal_fallow,89245.09136112401,89283.10577984892,280.87516890889015,0.0,-4.434586112334329,12.230562435595743,-16.665148547930073
147.825,medium_risk,optimal_fallow,89241.35651826963,89275.01266019391,279.8515406392028,0.0,-4.434586112334329,12.22945378906766,-16.66403990140199
149.65,medium_risk,optimal_fallow,89238.22696044581,89267.98695433987,278.6930144592628,0.0,-3.3065950115137914,12.228491363608203,-15.535086375121995
151.475,medium_risk,optimal_fallow,89235.65945300748,89261.95241844385,277.40922593408834,0.0,-3.3065950115137914,12.227664714855324,-15.534259726369115
153.3,medium_risk,optimal_fallow,89233.16712614878,89255.92790503312,276.13645307758367,0.0,-3.1953866132201707,12.226839439045635,-15.422226052265806
155.125,medium_risk,optimal_fallow,89232.12202544803,89250.09632446399,275.0757318429734,0.0,-3.1953866132201707,12.226040592392328,-15.421427205612499
156.95,medium_risk,optimal_fallow,89231.07692474729,89244.26474389486,274.0150106083632,0.0,-3.1953866132201707,12.225241745739023,-15.420628358959194
158.775,medium_risk,optimal_fallow,89230.65855773671,89239.92383776468,272.831361488753,0.0,-1.7876963823250704,12.224647101063656,-14.012343483388726
160.6,medium_risk,optimal_fallow,89230.69357254454,89236.66129186694,271.55878581403647,0.0,-1.7876963823250704,12.224200176968075,-14.011896559293145
162.425,medium_risk,optimal_fallow,89230.83930335312,89233.335596395,270.3063965603036,0.0,-2.0991189400337324,12.223744602245892,-14.322863542279624
164.25,medium_risk,optimal_fallow,89231.87076216775,89229.50470432943,269.21549867444014,0.0,-2.0991189400337324,12.223219822510883,-14.322338762544614
166.075,medium_risk,optimal_fallow,89232.90222098237,89225.67381226388,268.12460078857663,0.0,-2.0991189400337324,12.222695042775875,-14.321813982809608
