t,V_xi0,Vtilde_xi0,tau_star_xi0,d_star_xi0,V_xi_small,Vtilde_xi_small,tau_star_xi_small,d_star_xi_small,V_xi_mid,Vtilde_xi_mid,tau_star_xi_mid,d_star_xi_mid,W
116.8,106574.90527643892,106563.58917433054,317.24508037596235,0.0,107055.02725294314,107041.08163849439,317.3489640975639,0.0,112509.72514848014,112487.45520663624,319.4501389006016,0.0,1.3480125010087404e8
118.625,106564.69951320886,106551.52581864558,316.7359988480243,0.0,107044.9415499413,107029.10769391549,316.85470857225766,0.0,112501.9994194664,112470.49217682354,319.5952407858539,0.0,1.3478474137285388e8
120.45,106554.4937499788,106539.46246296061,316.2269173200862,0.0,107034.85584693946,107017.13374933657,316.36045304695136,0.0,112494.27369045267,112453.52914701084,319.74034267110613,0.0,1.3476823264483368e8
122.275,106545.63238746652,106528.72844574416,315.7166337302328,0.0,107026.13371260671,107006.51849795664,315.85867652300055,0.0,112487.92764513395,112440.49284240305,319.59278032712973,0.0,1.3475428251732102e8
124.1,106539.45982638976,106520.65310546475,315.20394601654857,0.0,107020.1387156121,106998.62063297466,315.3418580017606,0.0,112484.34096720524,112435.30998820507,318.8598895246959,0.0,1.3474544959082335e8
125.925,106533.28726531302,106512.57776518533,314.6912583028643,0.0,107014.1437186175,106990.72276799267,314.8250394805207,0.0,112480.75428927653,112430.12713400711,318.1269987222621,0.0,1.3473661666432568e8
127.75,106527.11470423627,106504.50242490592,314.1785705891801,0.0,107008.14872162289,106982.82490301068,314.30822095928073,0.0,112477.16761134783,112424.94427980915,317.3941079198283,0.0,1.34727783737828e8
129.575,106520.94214315953,106496.42708462651,313.66588287549587,0.0,107002.15372462828,106974.9270380287,313.7914024380408,0.0,112473.58093341911,112419.76142561117,316.6612171173945,0.0,1.3471895081133032e8
131.4,106514.76958208278,106488.35174434709,313.15319516181165,0.0,106996.15872763368,106967.02917304671,313.2745839168008,0.0,112469.99425549041,112414.5785714132,315.92832631496066,0.0,1.3471011788483265e8
133.225,106508.59702100602,106480.27640406768,312.6405074481274,0.0,106990.16373063906,106959.13130806472,312.75776539556085,0.0,112466.40757756171,112409.39571721524,315.1954355125269,0.0,1.3470128495833498e8
135.05,106502.42445992927,106472.20106378826,312.12781973444316,0.0,106984.16873364446,106951.23344308275,312.2409468743209,0.0,112462.820899633,112404.21286301728,314.4625447100931,0.0,1.3469245203183728e8
136.875,106496.25189885253,106464.12572350886,311.61513202075895,0.0,106978.17373664986,106943.33557810076,311.72412835308097,0.0,112459.23422170429,112399.0300088193,313.72965390765927,0.0,1.3468361910533962e8
138.7,106490.07933777578,106456.05038322945,311.10244430707473,0.0,106972.17873965525,106935.43771311876,311.20730983184103,0.0,112455.64754377559,112393.84715462134,312.99676310522545,0.0,1.3467478617884195e8
140.525,106487.97476108799,106452.22309256699,310.5245882245213,0.0,106970.26326628926,106931.80272872928,310.63143740480444,0.0,112454.68259774969,112398.19092423368,312.06518169574963,0.0,1.346721415127661e8
142.35,106486.82735719762,106449.39534299089,309.9313984081163,0.0,106969.30768083587,106929.17077506744,310.04166994110983,0.0,112454.33452981856,112404.77625238964,311.0868495552051,0.0,1.34670952907966e8
144.175,106485.67995330723,106446.56759341477,309.33820859171135,0.0,106968.35209538249,106926.5388214056,309.4519024774152,0.0,112453.98646188744,112411.36158054559,310.1085174146605,0.0,1.3466976430316585e8
146.0,106484.53254941685,106443.73984383867,308.7450187753064,0.0,106967.39650992912,106923.90686774376,308.8621350137206,0.0,112453.63839395632,112417.94690870155,309.130185274116,0.0,1.3466857569836575e8
147.825,106483.38514552647,106440.91209426256,308.1518289589014,0.0,106966.44092447574,106921.27491408192,308.272367550026,0.0,112453.29032602519,112424.5322368575,308.1518531335715,0.0,1.3466738709356564e8
149.65,106482.23774163608,106438.08434468645,307.5586391424964,0.0,106965.48533902236,106918.64296042008,307.6826000863314,0.0,112452.94225809407,112431.11756501345,307.1735209930269,0.0,1.346661984887655e8
151.475,106481.09033774571,106435.25659511035,306.9654493260914,0.0,106964.52975356899,106916.01100675824,307.0928326226368,0.0,112452.59419016296,112437.70289316941,306.1951888524824,0.0,1.346650098839654e8
