t,Q,xi,V,Vtilde,tau_star,d_star,W,fallow_foc
202.575,0.1,0.0,86128.33306302268,85844.68236318961,266.07104562974683,0.0,1.1551469022922508e8,-14.921741724739801
204.4,0.1,0.0,86134.23126010473,85838.91135513276,265.386258663759,0.0,1.1552623955176492e8,-14.920951175690918
206.225,0.1,0.0,86141.50263469323,85832.5552229259,264.96445316348,0.0,1.155426774407687e8,-15.31842152952364
208.05,0.1,0.0,86149.10690079845,85826.05724244025,264.6064007457971,0.0,1.1556030043679404e8,-15.317531395210537
209.875,0.1,0.0,86156.71116690367,85819.55926195461,264.24834832811416,0.0,1.1557792343281938e8,-15.316641260897436
211.7,0.1,0.0,86164.31543300887,85813.06128146895,263.89029591043123,0.0,1.1559554642884474e8,-15.315751126584331
213.525,0.1,0.0,86171.91969911409,85806.56330098331,263.5322434927483,0.0,1.1561316942487007e8,-15.31486099227123
215.35,0.1,0.0,86180.68425436188,85801.73499645977,263.23464896034426,0.0,1.15633650420169e8,-14.327080410591208
217.175,0.1,0.0,86189.54041138408,85797.03850845955,262.94182741888324,0.0,1.1565435704698952e8,-14.32643705607063
219.0,0.1,0.0,86198.39656840627,85792.34202045934,262.6490058774222,0.0,1.1567506367381003e8,-14.325793701550054
220.825,0.1,0.0,86207.25272542847,85787.64553245912,262.35618433596125,0.0,1.1569577030063055e8,-14.325150347029476
222.65,0.1,0.0,86216.15559906498,85783.04235900313,262.0666931940491,0.0,1.1571655564022785e8,-13.276329004669826
224.475,0.1,0.0,86225.96944668092,85780.25881915935,261.84214484333904,0.0,1.1573887587897229e8,-13.275947697841913
226.3,0.1,0.0,86235.78329429684,85777.47527931558,261.617596492629,0.0,1.1576119611771673e8,-13.275566391013998
228.125,0.1,0.0,86245.59714191276,85774.69173947182,261.393048141919,0.0,1.1578351635646118e8,-13.275185084186086
229.95,0.1,0.0,86255.41098952868,85771.90819962804,261.16849979120894,0.0,1.1580583659520562e8,-13.274803777358171
231.775,0.1,0.0,86265.35078610959,85769.33962961842,260.99255849131407,0.0,1.1582832922656241e8,-12.584529163040376
233.6,0.1,0.0,86275.90233480617,85767.81519880328,261.05270858109276,0.0,1.1585165919346486e8,-12.584320336901314
235.425,0.1,0.0,86286.45388350275,85766.29076798813,261.11285867087145,0.0,1.1587498916036731e8,-12.584111510762254
237.25,0.1,0.0,86297.00543219934,85764.76633717299,261.17300876065013,0.0,1.1589831912726976e8,-12.583902684623192
239.075,0.1,0.0,86307.55698089591,85763.24190635786,261.2331588504288,0.0,1.159216490941722e8,-12.583693858484134
240.9,0.1,0.0,86318.38833926417,85764.15334845208,260.99754385996727,0.0,1.1594218036577423e8,-8.023508700586586
242.725,0.1,0.0,86329.89590433898,85770.95148341062,260.0471632589251,0.0,1.1595594812373355e8,-8.02443995195077
244.55,0.1,0.0,86341.40346941378,85777.74961836917,259.09678265788295,0.0,1.1596971588169287e8,-8.025371203314956
246.375,0.1,0.0,86352.91103448858,85784.5477533277,258.14640205684077,0.0,1.1598348363965221e8,-8.026302454679138
248.2,0.1,0.0,86364.41859956339,85791.34588828625,257.19602145579864,0.0,1.1599725139761153e8,-8.027233706043322
250.025,0.1,0.0,86376.08576764504,85797.19371000247,256.5988009321043,0.0,1.1601541035315862e8,-9.283887893877516
251.85,0.1,0.0,86387.97825761871,85801.69991302364,256.5001593411365,0.0,1.1603976864647666e8,-9.284505181962608
253.675,0.1,0.0,86399.8707475924,85806.20611604482,256.4015177501687,0.0,1.160641269397947e8,-9.285122470047703
